_addRecords                      | 9                                | TK_FUNID                         | NaN                              | <function>                       | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <otherFunctions>                 | No              | <function>                      
input                            | 9                                | TK_INPUT                         | NaN                              | <input_par>                      | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <function>                       | No              | <input_par>                     
parameter                        | 9                                | TK_PARAMETER                     | NaN                              | <input_par>                      | Yes             | ------                          
list                             | 9                                | TK_LIST                          | NaN                              | <input_par>                      | Yes             | ------                          
[                                | 9                                | TK_SQL                           | NaN                              | <input_par>                      | Yes             | ------                          
int                              | 9                                | TK_INT                           | NaN                              | <primitiveDatatype>              | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <dataType>                       | No              | <primitiveDatatype>             
------                           | -1                               | ------                           | NaN                              | <parameter_list>                 | No              | <dataType>                      
------                           | -1                               | ------                           | NaN                              | <input_par>                      | No              | <parameter_list>                
b2                               | 9                                | TK_ID                            | NaN                              | <parameter_list>                 | Yes             | ------                          
,                                | 9                                | TK_COMMA                         | NaN                              | <remaining_list>                 | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <parameter_list>                 | No              | <remaining_list>                
record                           | 9                                | TK_RECORD                        | NaN                              | <constructedDatatype>            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <dataType>                       | No              | <constructedDatatype>           
#marks                           | 9                                | TK_RECORDID                      | NaN                              | <constructedDatatype>            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <parameter_list>                 | No              | <dataType>                      
------                           | -1                               | ------                           | NaN                              | <remaining_list>                 | No              | <parameter_list>                
c3b5                             | 9                                | TK_ID                            | NaN                              | <parameter_list>                 | Yes             | ------                          
,                                | 9                                | TK_COMMA                         | NaN                              | <remaining_list>                 | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <parameter_list>                 | No              | <remaining_list>                
record                           | 9                                | TK_RECORD                        | NaN                              | <constructedDatatype>            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <dataType>                       | No              | <constructedDatatype>           
#marks                           | 9                                | TK_RECORDID                      | NaN                              | <constructedDatatype>            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <parameter_list>                 | No              | <dataType>                      
------                           | -1                               | ------                           | NaN                              | <remaining_list>                 | No              | <parameter_list>                
c3b6                             | 9                                | TK_ID                            | NaN                              | <parameter_list>                 | Yes             | ------                          
------                           | -1                               | eps                              | NaN                              | <remaining_list>                 | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <parameter_list>                 | No              | <remaining_list>                
]                                | 9                                | TK_SQR                           | NaN                              | <input_par>                      | Yes             | ------                          
output                           | 10                               | TK_OUTPUT                        | NaN                              | <output_par>                     | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <function>                       | No              | <output_par>                    
parameter                        | 10                               | TK_PARAMETER                     | NaN                              | <output_par>                     | Yes             | ------                          
list                             | 10                               | TK_LIST                          | NaN                              | <output_par>                     | Yes             | ------                          
[                                | 10                               | TK_SQL                           | NaN                              | <output_par>                     | Yes             | ------                          
record                           | 10                               | TK_RECORD                        | NaN                              | <constructedDatatype>            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <dataType>                       | No              | <constructedDatatype>           
#marks                           | 10                               | TK_RECORDID                      | NaN                              | <constructedDatatype>            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <parameter_list>                 | No              | <dataType>                      
------                           | -1                               | ------                           | NaN                              | <output_par>                     | No              | <parameter_list>                
b3c45                            | 10                               | TK_ID                            | NaN                              | <parameter_list>                 | Yes             | ------                          
------                           | -1                               | eps                              | NaN                              | <remaining_list>                 | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <parameter_list>                 | No              | <remaining_list>                
]                                | 10                               | TK_SQR                           | NaN                              | <output_par>                     | Yes             | ------                          
;                                | 10                               | TK_SEM                           | NaN                              | <function>                       | Yes             | ------                          
------                           | -1                               | eps                              | NaN                              | <typeDefinitions>                | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <stmts>                          | No              | <typeDefinitions>               
------                           | -1                               | ------                           | NaN                              | <function>                       | No              | <stmts>                         
------                           | -1                               | eps                              | NaN                              | <declarations>                   | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <stmts>                          | No              | <declarations>                  
[                                | 11                               | TK_SQL                           | NaN                              | <outputParameters>               | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <funCallStmt>                    | No              | <outputParameters>              
c3b5                             | 11                               | TK_ID                            | NaN                              | <idList>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <outputParameters>               | No              | <idList>                        
------                           | -1                               | eps                              | NaN                              | <more_ids>                       | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <idList>                         | No              | <more_ids>                      
]                                | 11                               | TK_SQR                           | NaN                              | <outputParameters>               | Yes             | ------                          
<---                             | 11                               | TK_ASSIGNOP                      | NaN                              | <outputParameters>               | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <stmt>                           | No              | <funCallStmt>                   
call                             | 11                               | TK_CALL                          | NaN                              | <funCallStmt>                    | Yes             | ------                          
_readMarks                       | 11                               | TK_FUNID                         | NaN                              | <funCallStmt>                    | Yes             | ------                          
with                             | 11                               | TK_WITH                          | NaN                              | <funCallStmt>                    | Yes             | ------                          
parameters                       | 11                               | TK_PARAMETERS                    | NaN                              | <funCallStmt>                    | Yes             | ------                          
[                                | 11                               | TK_SQL                           | NaN                              | <inputParameters>                | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <funCallStmt>                    | No              | <inputParameters>               
b2                               | 11                               | TK_ID                            | NaN                              | <idList>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <inputParameters>                | No              | <idList>                        
------                           | -1                               | eps                              | NaN                              | <more_ids>                       | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <idList>                         | No              | <more_ids>                      
]                                | 11                               | TK_SQR                           | NaN                              | <inputParameters>                | Yes             | ------                          
;                                | 11                               | TK_SEM                           | NaN                              | <funCallStmt>                    | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <otherStmts>                     | No              | <stmt>                          
------                           | -1                               | ------                           | NaN                              | <stmts>                          | No              | <otherStmts>                    
