_readMarks                       | 8                                | TK_FUNID                         | NaN                              | <function>                       | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <otherFunctions>                 | No              | <function>                      
input                            | 8                                | TK_INPUT                         | NaN                              | <input_par>                      | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <function>                       | No              | <input_par>                     
parameter                        | 8                                | TK_PARAMETER                     | NaN                              | <input_par>                      | Yes             | ------                          
list                             | 8                                | TK_LIST                          | NaN                              | <input_par>                      | Yes             | ------                          
[                                | 8                                | TK_SQL                           | NaN                              | <input_par>                      | Yes             | ------                          
int                              | 8                                | TK_INT                           | NaN                              | <primitiveDatatype>              | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <dataType>                       | No              | <primitiveDatatype>             
------                           | -1                               | ------                           | NaN                              | <parameter_list>                 | No              | <dataType>                      
------                           | -1                               | ------                           | NaN                              | <input_par>                      | No              | <parameter_list>                
b7                               | 8                                | TK_ID                            | NaN                              | <parameter_list>                 | Yes             | ------                          
------                           | -1                               | eps                              | NaN                              | <remaining_list>                 | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <parameter_list>                 | No              | <remaining_list>                
]                                | 8                                | TK_SQR                           | NaN                              | <input_par>                      | Yes             | ------                          
output                           | 9                                | TK_OUTPUT                        | NaN                              | <output_par>                     | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <function>                       | No              | <output_par>                    
parameter                        | 9                                | TK_PARAMETER                     | NaN                              | <output_par>                     | Yes             | ------                          
list                             | 9                                | TK_LIST                          | NaN                              | <output_par>                     | Yes             | ------                          
[                                | 9                                | TK_SQL                           | NaN                              | <output_par>                     | Yes             | ------                          
record                           | 9                                | TK_RECORD                        | NaN                              | <constructedDatatype>            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <dataType>                       | No              | <constructedDatatype>           
#marks                           | 9                                | TK_RECORDID                      | NaN                              | <constructedDatatype>            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <parameter_list>                 | No              | <dataType>                      
------                           | -1                               | ------                           | NaN                              | <output_par>                     | No              | <parameter_list>                
b3c45                            | 9                                | TK_ID                            | NaN                              | <parameter_list>                 | Yes             | ------                          
------                           | -1                               | eps                              | NaN                              | <remaining_list>                 | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <parameter_list>                 | No              | <remaining_list>                
]                                | 9                                | TK_SQR                           | NaN                              | <output_par>                     | Yes             | ------                          
;                                | 9                                | TK_SEM                           | NaN                              | <function>                       | Yes             | ------                          
------                           | -1                               | eps                              | NaN                              | <typeDefinitions>                | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <stmts>                          | No              | <typeDefinitions>               
------                           | -1                               | ------                           | NaN                              | <function>                       | No              | <stmts>                         
------                           | -1                               | eps                              | NaN                              | <declarations>                   | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <stmts>                          | No              | <declarations>                  
read                             | 10                               | TK_READ                          | NaN                              | <ioStmt>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <stmt>                           | No              | <ioStmt>                        
(                                | 10                               | TK_OP                            | NaN                              | <ioStmt>                         | Yes             | ------                          
b3c45                            | 10                               | TK_ID                            | NaN                              | <singleOrRecId>                  | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <ioStmt>                         | No              | <singleOrRecId>                 
.                                | 10                               | TK_DOT                           | NaN                              | <new_24>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <singleOrRecId>                  | No              | <new_24>                        
maths                            | 10                               | TK_FIELDID                       | NaN                              | <new_24>                         | Yes             | ------                          
)                                | 10                               | TK_CL                            | NaN                              | <ioStmt>                         | Yes             | ------                          
;                                | 10                               | TK_SEM                           | NaN                              | <ioStmt>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <otherStmts>                     | No              | <stmt>                          
------                           | -1                               | ------                           | NaN                              | <stmts>                          | No              | <otherStmts>                    
read                             | 11                               | TK_READ                          | NaN                              | <ioStmt>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <stmt>                           | No              | <ioStmt>                        
(                                | 11                               | TK_OP                            | NaN                              | <ioStmt>                         | Yes             | ------                          
b3c45                            | 11                               | TK_ID                            | NaN                              | <singleOrRecId>                  | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <ioStmt>                         | No              | <singleOrRecId>                 
.                                | 11                               | TK_DOT                           | NaN                              | <new_24>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <singleOrRecId>                  | No              | <new_24>                        
physics                          | 11                               | TK_FIELDID                       | NaN                              | <new_24>                         | Yes             | ------                          
)                                | 11                               | TK_CL                            | NaN                              | <ioStmt>                         | Yes             | ------                          
;                                | 11                               | TK_SEM                           | NaN                              | <ioStmt>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <otherStmts>                     | No              | <stmt>                          
------                           | -1                               | ------                           | NaN                              | <otherStmts>                     | No              | <otherStmts>                    
read                             | 12                               | TK_READ                          | NaN                              | <ioStmt>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <stmt>                           | No              | <ioStmt>                        
(                                | 12                               | TK_OP                            | NaN                              | <ioStmt>                         | Yes             | ------                          
b3c45                            | 12                               | TK_ID                            | NaN                              | <singleOrRecId>                  | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <ioStmt>                         | No              | <singleOrRecId>                 
.                                | 12                               | TK_DOT                           | NaN                              | <new_24>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <singleOrRecId>                  | No              | <new_24>                        
chemistry                        | 12                               | TK_FIELDID                       | NaN                              | <new_24>                         | Yes             | ------                          
)                                | 12                               | TK_CL                            | NaN                              | <ioStmt>                         | Yes             | ------                          
